title,id,genres,runtime_seconds,number_of_writers
Divine Secrets of the Ya-Ya Sisterhood (2002),tt0279778,['Drama'],6960.0,3.0
Ace Ventura: When Nature Calls (1995),tt0112281,"['Adventure', 'Comedy', 'Crime']",5400.0,2.0
Dances with Wolves (1990),tt0099348,"['Adventure', 'Drama', 'Western']",10860.0,1.0
Date and Switch (2014),tt1878942,"['Comedy', 'Drama', 'Romance']",5460.0,1.0
The Intouchables (2011),tt1675434,"['Comedy', 'Drama']",6720.0,3.0
Mrs. Doubtfire (1993),tt0107614,"['Comedy', 'Drama', 'Family']",7500.0,3.0
Ghostbusters (2016),tt1289401,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",7020.0,3.0
Almost Famous (2000),tt0181875,"['Adventure', 'Comedy', 'Drama', 'Music']",7320.0,1.0
Blade Runner (1982),tt0083658,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",7020.0,3.0
Unforgiven (1992),tt0105695,"['Drama', 'Western']",7800.0,1.0
Rosemary's Baby (1968),tt0063522,"['Drama', 'Horror']",8220.0,2.0
Cheaper by the Dozen (2003),tt0349205,"['Comedy', 'Family']",5880.0,3.0
Can't Hardly Wait (1998),tt0127723,"['Comedy', 'Romance']",6000.0,2.0
Die Another Day (2002),tt0246460,"['Action', 'Adventure', 'Thriller']",7980.0,3.0
Toy Story 2 (1999),tt0120363,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",5520.0,3.0
Transformers: Age of Extinction (2014),tt2109248,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Thriller']",9900.0,1.0
Like Stars on Earth (2007),tt0986264,"['Drama', 'Family']",9720.0,1.0
Terminator 2: Judgement Day (1991),,,,
25th Hour (2002),tt0307901,['Drama'],8100.0,1.0
Who's Afraid of Virginia Woolf (1966),,,,
Adaption (2002),,,,
Life is Beautiful (1997),tt0118799,"['Comedy', 'Drama', 'Romance', 'War']",6960.0,2.0
Room (2015),tt3170832,"['Drama', 'Thriller']",7080.0,1.0
Scream (1996),tt0117571,"['Horror', 'Mystery']",6660.0,1.0
The Evil Dead (1981),tt0083907,['Horror'],5100.0,1.0
Gangs of New York (2002),tt0217505,"['Crime', 'Drama']",10020.0,3.0
Stand By Me (1986),tt0092005,"['Adventure', 'Comedy', 'Drama']",5340.0,3.0
The Vow (2012),tt1606389,"['Drama', 'Romance']",6240.0,3.0
Toy Story 3 (2010),tt0435761,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6180.0,3.0
